od,category,algorithm,status,path_length,objective_cost,final_survival,cum_fatality,cum_noise,runtime_ms,nodes_explored
short_NS,short,TD-RiskA*,success,150.0,3.4641016151377553,0.3907056276616598,0.0,0.0,2.100229263305664,51
short_NS,short,Static A*,success,150.0,3.4641016151377553,0.4430574575043614,0.0,0.0,1.9485950469970703,51
short_NS,short,Distance-only,success,150.0,8.660254037844389,0.3907056276616598,0.0,0.0,2.034902572631836,51
short_EW,short,TD-RiskA*,success,150.0,3.4641016151377553,0.3955804899986337,0.0,0.0,2.050638198852539,51
short_EW,short,Static A*,success,150.0,3.4641016151377553,0.4428339893251484,0.0,0.0,1.9648075103759766,51
short_EW,short,Distance-only,success,150.0,8.660254037844389,0.3955804899986337,0.0,0.0,1.8420219421386719,51
med_diag,medium,TD-RiskA*,success,565.685424949238,13.066949736165954,0.048429426575912496,0.0014765249286419345,0.002437624562199862,5.010128021240234,204
med_diag,medium,Static A*,success,565.685424949238,13.07002311596981,0.08643350752152869,0.0013905645825948126,0.003262549459867195,4.970550537109375,204
med_diag,medium,Distance-only,success,565.685424949238,32.65986323710904,0.048429426575912496,0.0014765249286419345,0.002437624562199862,4.900932312011719,204
med_cross,medium,TD-RiskA*,success,500.0,11.547005383792518,0.018441363889605294,0.0,0.0,5.771398544311523,156
med_cross,medium,Static A*,success,500.0,11.547005383792518,0.03993019075155551,0.0,0.0,5.949258804321289,156
med_cross,medium,Distance-only,success,500.0,28.867513459481305,0.018441363889605294,0.0,0.0,5.92494010925293,156
long_diag,long,TD-RiskA*,success,777.8174593052023,17.966636227496245,0.027647352683075478,0.001815829931578341,0.0038561442479395744,6.735324859619141,279
long_diag,long,Static A*,success,777.8174593052023,17.970714051447075,0.049136680755911676,0.0017738365411182778,0.004998419983166384,6.8206787109375,279
long_diag,long,Distance-only,success,777.8174593052023,44.90731195102494,0.027647352683075478,0.001815829931578341,0.0038561442479395744,6.6204071044921875,279
long_NS,long,TD-RiskA*,success,550.0,12.701705922171772,0.014491998807919126,0.0,0.0,6.713390350341797,171
long_NS,long,Static A*,success,550.0,12.701705922171772,0.032781827335741066,0.0,0.0,7.036924362182617,171
long_NS,long,Distance-only,success,550.0,31.754264805429436,0.014491998807919126,0.0,0.0,6.628751754760742,171
cross_wind,cross_risk,TD-RiskA*,success,261.4213562373095,6.037707126622894,0.012167805323660266,0.0002186206562999506,8.458397505811796e-05,225.4946231842041,2412
cross_wind,cross_risk,Static A*,success,200.0,4.618802153517006,0.13701414820827137,0.0,0.0,2.63214111328125,66
cross_wind,cross_risk,Distance-only,success,200.0,11.54700538379252,0.0029489168773421,0.0,0.0,2.3870468139648438,66
cross_rain,cross_risk,TD-RiskA*,success,261.4213562373095,6.037342682817568,0.01221645627004969,3.7268178445212995e-05,2.1858852940266992e-05,245.7144260406494,2581
cross_rain,cross_risk,Static A*,success,200.0,4.618802153517006,0.13701414820827137,0.0,0.0,2.493143081665039,66
cross_rain,cross_risk,Distance-only,success,200.0,11.54700538379252,0.005755101747639626,0.0,0.0,2.366304397583008,66
night_depart,temporal,TD-RiskA*,success,777.8174593052023,17.966440947386676,0.12215081727032673,0.001686915127920651,0.0071125666242015835,6.601810455322266,279
night_depart,temporal,Static A*,success,777.8174593052023,17.970714051447075,0.049136680755911676,0.0017738365411182778,0.004998419983166384,6.633281707763672,279
night_depart,temporal,Distance-only,success,777.8174593052023,44.90731195102494,0.12215081727032673,0.001686915127920651,0.0071125666242015835,6.5746307373046875,279
noon_depart,temporal,TD-RiskA*,success,777.8174593052023,17.966636227496245,0.027647352683075478,0.001815829931578341,0.0038561442479395744,6.560802459716797,279
noon_depart,temporal,Static A*,success,777.8174593052023,17.970714051447075,0.049136680755911676,0.0017738365411182778,0.004998419983166384,6.596565246582031,279
noon_depart,temporal,Distance-only,success,777.8174593052023,44.90731195102494,0.027647352683075478,0.001815829931578341,0.0038561442479395744,6.465673446655273,279
